英文名稱,中文名稱,生歿年,國籍,專長
"Ansorge, Conrad",安索格,1862-1930,德國,鋼琴；作曲
"Antheil, George",安賽爾,1900-1959,美國,作曲
"Anthony, Trevor",安東尼,1912-,英國,聲樂
"Antill, John",安替爾,1904-1986,澳大利亞,作曲
Antonsen Ole Edvard,安東森,1962-,挪威,管樂
"Antunes, Jorge",安杜內斯,1942-,巴西,作曲
"Apel, Willi",阿佩爾,1893-1988,德國,音樂學
"Aplvor, Denis",阿普弗爾,1916-,英國,作曲
"Apostel, Hans Erich",阿波斯特,1901-1972,奧地利,作曲
"Appeldoorn, Christina (Dina)",阿佩敦,1884-1938,荷蘭,作曲
"Ara, Ugo",阿爾拉,1876-1936,義大利,小提琴
"Aranyi, Jelly d'",阿蘭尼,1895-1966,匈牙利,小提琴
"Arbeau, Thoinot (Jehan)",阿爾波,1519 -1595,法國,作曲
"Arbos, Enrique",阿玻斯,1863-1939,西班牙,小提琴；作曲；指揮
"Arc?, Paolo",阿爾卡,1953-,義大利,作曲
"Arcadelt, Jacob",阿卡代特,1505-1568,比利時,作曲
"Archambeau, Jwan d'",阿匈播,1879-1955,比利時,大提琴
"Archangelsky, Alexander",阿向蓋斯基,1846-1924,俄國,指揮；作曲
"Archer, Frederick",阿切爾,1838-1901,英國,管風琴
"Arditi, Luigi","阿迪悌,路易吉",1822-1903,義大利,作曲；指揮
"Arditti, David","阿迪悌,大衛",1964-,俄國,作曲
"Arensky, Anton Stepanovich",阿倫斯基,1861-1906,俄國,鋼琴；作曲
"Argent, Mark",阿真特,1964-,英國,作曲
"Argerich, Martha",阿赫莉希,1941-,阿根廷,鋼琴
"Arias, Luis",阿里亞斯,1940-,阿根廷,作曲
"Arie, Raffaele????",阿里耶,1922-1988,保加利亞,聲樂
Aristoxenus,阿里斯多克賽諾斯,B.ca.378-B.ca.322,希臘,音樂理論
"Arkwright, Godfrey",阿克萊特,1864-1944,英國,音樂學
"Armstrong, Thomas",阿姆斯壯,1898-,英國,管風琴；作曲
"Arnaoudov, Gheorghi",阿瑙朵夫,1957-,保加利亞,作曲
"Arne, Michael","阿恩,麥可",1740-1786,英國,作曲
"Arne, Thomas Augustine","阿恩,湯瑪斯",1710-1778,英國,作曲
"Arnell, Richard",阿尼爾,1917-,英國,作曲
"Arnold, Malcolm",阿諾,1921-,英國,作曲
"Arnould, Sophie",阿爾努,1740-1802,法國,聲樂
"Arrau, Claudio",阿勞,1903-1991,智利,鋼琴
"Arriaga, Juan Crisostomo",阿里亞加,1806-1826,西班牙,小提琴；作曲
"Arrigo, Girolamo",阿里哥,1930-,義大利,作曲
"Arronte, Aitor",阿隆特,1978-,西班牙,作曲
"Arroyo, Martina",阿柔友,1936-,美國,聲樂
"Artegna, Francesco Ellero d'????",阿爾提尼亞,1900-,義大利,聲樂　
Art?t D?sir?e,"阿爾妥,黛吉蕾",1835-1907,比利時,聲樂
"Art?t, Alexandre-Joseph Montagney","阿爾妥,亞力山大－約瑟夫",1815-1845,比利時,小提琴
"Artved, Max????",阿特維,1965-,丹麥,雙簧管
"Arundell, Dennis",阿倫德爾,1898-1988,英國,理論；歌劇導演
"Arutiunian, Alexander",阿魯突尼安,1920-2005,亞美尼亞,作曲
"Asafiev, Boris",阿薩費耶夫,1884-1949,俄國,作曲
"Asahina, Takashi",朝比奈隆,1908-2001,日本,指揮
"Ashkenazy, Vladimir",阿胥肯納齊,1937-,俄國,鋼琴；指揮
"Ashton, Algernon",阿希頓,1859-1937,英國,作曲；鋼琴
"Askenase, Stefan",阿斯肯納瑟,1896-1985,比利時,鋼琴
"Asperen, Bob van????",阿斯佩倫,1947-,荷蘭,大鍵琴；管風琴；指揮
"Aston, Peter",阿斯頓,1938-,英國,作曲；指揮
"Atherton, David",阿瑟頓,1944-,英國,指揮
"Atkins, Ivor",阿特金斯,1869-1953,英國,管風琴；指揮；作曲
"Atlas, Dalia",阿特拉斯,1933-,以色列,指揮；鋼琴
"Atterberg, Kurt",阿特貝格,1887-1974,瑞典,作曲
"Atzmon, Moshe",阿茲蒙,1931-,以色列,指揮
"Auber, Daniel-Fran?ois Esprit","歐貝爾,丹尼爾－弗朗索瓦",1782-1871,法國,作曲
"Aubert, Jacques","歐貝爾,賈克",1689-1753,法國,小提琴；作曲
"Aubert, Louis","歐貝爾,路易",1877-1968,法國,作曲
"Aubin, Tony Alexandre",歐班,1907-1981,法國,作曲
"Audran, Edmond",歐德隆,1840-1901,法國,作曲
"Auer, Leopold",奧爾,1845-1930,匈牙利,小提琴
"Aug?r, Arleen????",奧格爾,1939-1993,美國,聲樂
"Augustus, Janice G.",奧古斯突絲,1945-,美國,作曲
"Auric, Georges",歐立克,1899-1983,法國,作曲
"Austin, Frederic","奧斯汀,弗瑞德立克",1872-1952,英國,聲樂；作曲
"Austin, Richard","奧斯汀,理查",1903-1989,英國,指揮
"Austin, Sumner","奧斯汀,山納",1888-1981,英國,聲樂；歌劇
"Austral, Florence",奧絲楚,1894-1968,澳大利亞,聲樂
"Avalon, Robert",阿瓦隆,1955-2004,美國,作曲
"Aveling, Valda",阿威林,1920-,澳大利亞,鋼琴
"Avidom, Menahem",阿維當,1908-1995,以色列,作曲
"Avison, Charles",阿維森,1709-1770,英國,作曲
"Avraham, Gerald",阿布拉罕,1904-1988,英國,音樂著作
"Avshalomov, Aaron","阿夏洛莫夫,阿隆",1894-1965,俄國,作曲
"Avshalomov, Jacob","阿夏洛莫夫,雅各",1919-,美國,作曲；指揮
"Axman, Emil",阿克斯曼,1887-1949,捷克,作曲
"Ayala-P?rez, Daniel",阿雅拉－貝雷斯,1906-1975,墨西哥,作曲
"Azesberger, Kurt????",阿傑斯貝格,1960-,奧地利,聲樂
"Azevedo, S?rgio",阿傑維多,1968-,葡萄牙,作曲
"Azopardi, Francesco",阿佐帕爾第,1748-1809,馬爾他,作曲
"Babbitt, Milton",巴比特,1916-2011,美國,作曲；薩克斯管
"Babell, William",巴貝爾,1690-1723,英國,古鋼琴；小提琴
"Babin, Victor",巴賓,1908-1972,美國,鋼琴
"Baccaloni, Salvatore",巴卡洛尼,1900-1969,義大利,聲樂
"Bacewicz, Grazyna",巴采維琪,1909-1969,波蘭,小提琴；作曲
"Bach, Carl Philipp Emanuel","巴赫,卡爾‧菲利普‧艾曼紐",1714-1788,德國,作曲
"Bach, Jan","巴赫,楊",1937-,美國,作曲
"Bach, Johann Christian","巴赫,約翰‧克里斯提安",1735-1782,德國,作曲
"Bach, Johann Christoph Friedrich","巴赫,約翰‧克利斯托夫‧弗里德利希",1732-1795,德國,作曲
"Bach, Johann Jakob","巴赫,約翰‧雅科伯",1682-1722,德國,雙簧管
"Bach, Johann Sebastian","巴赫,約翰‧瑟巴斯提安",1685-1750,德國,管風琴
"Bach, P.D.Q.","巴赫,P.D.Q.",1742-1807,德國,作曲
"Bach, Vincent","巴赫,文森",1890-1976,美國,小號；銅管樂器製造
"Bach, Wilhelm Friedemann","巴赫,威廉‧弗利德曼",1710-1784,德國,作曲
"Bachauer, Gina",巴考兒,1913-1976,希臘,鋼琴
"Bache, Walter",巴奇,1842-1888,英國,鋼琴
"Bachelet, Alfred",巴許列,1864-1944,法國,作曲
"Back(h)ofen, Johann Georg Heinrich",巴科芬,1768-1839,德國,作曲
"B?ck, Sven-Erik",貝克,1919-1994,瑞典,作曲
"Backer-Gr?ndahl, Agathe",巴克－葛倫達爾,1847-1907,挪威,作曲
"Backhaus, Wilhelm",巴克豪斯,1884-1969,德國,鋼琴
"Bacon, Ernst",貝肯,1898-1990,美國,作曲；鋼琴；指揮
"Bacquier, Gabriel",巴基耶,1924-,法國,男中音
"Badarczewska, Tekla",巴達婕芙絲卡,1834-1861,波蘭,作曲
"Badia, Carlo Agostino",巴迪亞,1672-1738,義大利,作曲
"Badings, Henk",巴定思,1907-1987,荷蘭,作曲
"Badura-Skoda, Paul",巴杜拉－司科達,1927-,奧地利,鋼琴
"Baer, Morris",巴爾莫里斯,1868-1938,美國,作曲
"Bahr-Mildenburg[Mildenburgvon Bellschau], Anna",巴爾－米爾登伯格,1872-1947,美國,聲樂
"Bailey, Lilian","白利,麗蓮",1860-1901,美國,聲樂
"Bailey, Norman","白利,諾曼",1933-,英國,聲樂
"Baillie, Isobel","白莉,伊索貝爾",1895-1983,英國（蘇格蘭）,聲樂
"Baillot, Pierre",拜悠,1771-1842,法國,小提琴；作曲
"Bailly, Louis",拜伊,1882-1974,法國,中提琴
"Bainbridge, Simon",班布里奇,1952-,英國,單簧管；作曲
"Baines, Anthony Cuthbert","貝恩斯,安東尼",1912-1997,英國,音樂學
"Baines, William","貝恩斯,威廉",1899-1922,英國,作曲
"Bainton, Edgar Leslie",貝恩頓,1880-1956,英國,作曲
"Baird, Tadeusz",貝爾德,1928-1981,波蘭,作曲
"Bairstow, Edward",貝爾斯妥,1874-1946,英國,作曲
"Bajer, Jiri",巴耶爾,1925-,捷克,雙簧管；音樂學
