英文名稱,中文名稱,生歿年,國籍,專長
"Rol?n, Jos?",羅隆,1876-1945,墨西哥,作曲
"Roman, Johan Helmich",羅曼,1694-1758,瑞典,作曲
"Romberg, Andreas Jakob","隆貝爾格,安德雷阿斯",1767-1821,德國,小提琴
"Romberg, Bernhard Heinrich","隆貝爾格,伯恩哈德",1767-1841,德國,大提琴；作曲
"Romberg, Sigmund","隆貝爾格,齊格蒙",1887-1951,美國,作曲
"Romero, Celedonio",羅梅洛,1913-1996,古巴,作曲
"Ronald, Landon",羅納德,1873-1938,英國,鋼琴；作曲；指揮
"R?ntgen, Julius",倫特根,1855-1932,德國,作曲；鋼琴；指揮
"Rootham, Cyril",盧塔姆,1875-1938,英國,作曲
"Ropartz, Joseph Guy",羅帕茲,1864-1955,法國,作曲；指揮
"Roper, Stanley",羅坡爾,1878-1953,英國,管風琴；作曲
"Rorem, Ned",羅倫,1923-,美國,作曲；鋼琴
"Rosa, Carl",羅撒,1842-1889,德國,小提琴
"Rosas, Juventino",洛撒斯,1868-1894,古巴,作曲
"Rosbaud, Hans",羅斯保德,1895-1962,奧地利,指揮
"Roscigno, John",羅希紐,1964-,美國,作曲
"Rose, Arnold",羅瑟,1863-1946,奧地利,小提琴
"Rose, Bernard","羅斯,貝納德",1916-1996,英國,管風琴；指揮；作曲
"Rose, Leonard","羅斯,雷歐納德",1918-1984,美國,大提琴
"Roseingrave, Thomas",羅辛格瑞夫,1688-1766,英國,管風琴；作曲
"Rosen, Charles","羅森,查爾斯",1927-,美國,鋼琴；音樂著作
"Rosen, Max","羅森,馬克斯",1900-1956,美國,小提琴
"Rosenberg, Hilding",羅森貝爾格,1892-1985,瑞典,作曲；指揮
"Rosenm?ller, Johann",羅森繆勒,1619-1684,德國,作曲
"Rosenstock, Joseph",羅森斯托克,1895-1985,美國,指揮；鋼琴
"Rosenthal, Manuel","羅森塔爾,馬努埃",1904-2003,法國,指揮；作曲
"Rosenthal, Moriz","羅森塔爾,莫瑞茲",1862-1946,奧地利,鋼琴
"Rosetti, Antonio",羅賽悌,1750-1792,捷克,作曲
"Rosing, Vladimir",羅興,1890-1963,美國,聲樂
"Roslavetz(s), Nikolai",羅斯拉維茲,1881-1944,俄國,作曲
"Rosner, Arnold",羅斯納,1945-,美國,作曲
"Ross, Susanna",羅絲,1950-,英國,聲樂
"Ross, Walter",羅斯˙華爾特,1936-,美國,作曲
"R?ssel-Majdan, Hildegard",婁瑟－瑪伊丹,1921-,奧地利,聲樂
"Rossellini, Renzo",羅瑟利尼,1908-1982,義大利,作曲
"Rossi, Lauro","羅西,勞羅",1812-1885,義大利,作曲
"Rossi, Mario","羅西,馬里歐",1902-1992,義大利,指揮
"Rossi, Salomone","羅西,沙羅莫內",ca.1570-ca.1630,義大利,作曲
"Rossi-Lemeni, Nicola",羅西－雷梅尼,1920-1991,義大利,聲樂
"Rossini, Gioachino (Antonio)",羅西尼,1792-1868,義大利,歌劇作曲
"Rostal, Max",羅斯托爾,1905-1991,英國,小提琴
"Rostropovich, Mstislav",羅斯特羅波維契,1927-2007,俄國,大提琴；指揮
"Rosvaenge, Helge",羅斯溫格,1897-1972,丹麥,聲樂
"Rota, Nino",羅塔,1911-1979,義大利,作曲
"Roth, Daniel",羅特,1942-,法國,管風琴
"Rothem?ller, Marko",羅特繆勒,1908-1993,南斯拉夫,聲樂
"Rothenberger, Anneliese",羅藤貝格爾,1924-,德國,聲樂
"Rothwell, Walter Henry",羅茲威爾,1872-1927,美國,指揮；作曲；鋼琴
"Rott, Hans",洛特,1858-1884,澳大利亞,作曲
"Rouleau, Joseph Alfred",盧洛,1929-,加拿大,聲樂
"Rounseville, Robert",隆斯維爾,1914-1974,美國,聲樂
"Rouse, Christopher",盧瑟,1949-,美國,作曲
"Rousseau, Jean-Jacques",羅梭,1712-1778,法國,音樂著作；作曲
"Rousseau, Samuel-Alexandre",盧索,1853-1904,法國,作曲；指揮
"Roussel, Albert",盧賽爾,1869-1937,法國,作曲
"Routh, Francis",路斯,1927-,英國,作曲；鋼琴；音樂著作
"Rovelli, Pietro",羅維里,1793-1838,義大利,小提琴；作曲
"Rowicki, Witold",羅維茲基,1914-1989,波蘭,指揮；作曲
"Rowley, Alec",羅利,1892-1958,英國,作曲；鋼琴
"Roxburgh, Edwin",羅克斯堡,1937-,英國,作曲；指揮
"Roy, St?phane",羅瓦,1959-,加拿大,作曲
"Roz?, Nicolas",羅澤,ca.1760-ca.1823,法國,作曲
"Rozhdestvensky, Gennady",羅日傑斯特文斯基,1931-,俄國,指揮
"Rozsa, Miklos",羅薩,1907-1995,美國,作曲
"Rubbra, Edmund",盧布拉,1901-1986,英國,作曲；鋼琴
"Rubens, Parl Alfred",魯本斯,1875-1917,英國,作曲
"Rubini, Giovanni Battista",魯畢尼,1794-1854,義大利,聲樂
"Rubinstein, Anton","魯賓斯坦,安東",1829-1894,俄國,鋼琴；作曲；指揮
"Rubinstein, Artur(Arthur)","魯賓斯坦,阿圖",1887-1982,美國,鋼琴
"Rubinstein, Beryl","魯賓斯坦,貝若",1898-1952,美國,鋼琴；作曲
"Rubinstein, Nikolay","魯賓斯坦,尼古拉",1835-1881,俄國,鋼琴；作曲
"Rudel, Julius",魯岱爾,1921-,美國,指揮
"Ruders, Poul",魯德斯,1949-,丹麥,作曲
"Rudersdorf, Hermine",魯德絲朵芙,1822-1882,俄國,聲樂
"Rudhyar, Dane",魯德哈爾,1895-1985,美國,作曲
"Rudin, Andrew",魯丁,1939-,美國,作曲
"Ruffo, Titta",魯佛,1877-1953,義大利,聲樂
"Ruggles, Carl",拉格斯,1876-1971,美國,作曲
"Rumford, Kennerley",隆福特,1870-1957,英國,聲樂
"Rummel, Christian","隆梅爾,克里斯提安",1787-1849,德國,鋼琴；作曲
"Rummel, Franz","隆梅爾,弗朗茲",1853-1901,德國,鋼琴
"Rummel, Walter Morse","隆梅爾,瓦特",1887-1953,德國,鋼琴；作曲
"Rupert, Chris",魯珀特,1965-,加拿大,作曲
"Rusager, Knutage",盧薩格,1897-1974,丹麥,作曲
"Rush, Tracey",拉許,1955-,美國,作曲
"Russell, Henry","盧瑟爾,亨利",1812-1900,英國,作曲；鋼琴
"Russell, Willian","盧瑟爾,威廉",1777-1813,英國,管風琴；作曲
"Russo, William",拉梭,1928-2003,美國,作曲
"Russolo, Luigi",盧梭洛,1885-1947,義大利,作曲
"Rust, Friedrich Wilhelm","盧斯特,弗里德利希",1739-1796,德國,作曲；小提琴
"Rust, Wilhelm","盧斯特,威翰",1822-1892,德國,作曲；管風琴；鋼琴
"Rust, Wilhelm Karl","盧斯特,威翰‧卡爾",1787-1855,德國,作曲；鋼琴
"Rutter, John",魯特,1945-,英國,作曲；指揮
"Ruyneman, Dani?l",路易內曼,1886-1963,荷蘭,作曲
"Ryba, Jan Jakub",呂巴,1765-1815,捷克,作曲
"Ryden, William",萊登,1939-,美國,作曲
"Ryelandt, Joseph",呂蘭德特,1870-1965,比利時,作曲
"Ryom, Peter",呂翁,1937-,丹麥,音樂學
"Ryusuke, Numajiri",沼尻龍典,1964-,日本,指揮
"Rzewski, Frederic",策夫斯基,1938-,美國,作曲；鋼琴
"Saariaho, Kaija",薩里亞后,1952-,芬蘭,作曲
"Sabaneyev, Leonid",薩巴尼耶夫,1881-1968,俄國,音樂學；作曲
"Sabathil, Ferdinand",薩巴悌爾,1852-1937,捷克,作曲
"Sabbatini, Galeazzo","薩巴悌尼,加雷阿佐",1597-1662,義大利,作曲
"Sabbatini, Luigi Antonio","薩巴悌尼,路易吉",1732-1809,義大利,音樂理論；作曲
"Sabicas (Castell?n Campos), Agustin",薩比卡斯,1912-1990,西班牙,作曲；弗拉門哥吉他
"Sabra , Wadih",薩布拉,1876-1952,黎巴嫩,作曲；音樂理論
"Sacchini, Antonio (Maria Gasparo)",薩基尼,1730-1786,義大利,作曲
"Sacher, Paul",札赫爾,1906-1999,瑞士,指揮
"Sachs, Curt",札赫斯,1881-1959,德國,音樂學
"Sachse, Ernst",札赫澤,1810-1849,美國,作曲
"Sackman, Nicholas",薩克曼,1950-,英國,作曲
"Sadai, Yizhak",薩達伊,1935-,以色列,作曲
"Saegusa, Shigeaki",三枝成彰,1942-,日本,作曲
"Safonov, Vasily",薩弗諾夫,1852-1918,俄國,鋼琴；指揮
"Sager, Brian",薩黑爾,1964-,阿根廷,作曲
"Sagreras, Julio Salvador",薩格雷拉斯,1879-1942,阿根廷,作曲；吉他
"Saikkola, Lauri",賽科拉,1906-1995,芬蘭,作曲
"Saint-Sa?ns, Camille",聖桑斯,1835-1921,法國,作曲
"Saintis, Armand",桑提斯,1822-1894,法國,作曲
"Sainton, Prosper",桑通,1813-1890,法國,小提琴；作曲
"Sainton-Dolby, Charlotte",桑頓－多比,1821-1885,英國,聲樂；作曲
"Saito, Akiko",齋藤明子,1968-,日本,吉他
"Saito, Hideo",齋藤秀雄,1902-1974,日本,大提琴；指揮
"Sakamoto, Ryuichi",?本龍一,1952-,日本,作曲
"Salazar, Adolfo","撒拉薩爾,阿多佛",1890-1958,西班牙,音樂學；作曲
"Salazar, Ant?nio de","撒拉薩爾,安東尼歐",1650-1715,墨西哥,作曲
"Sal?za, Albert",薩雷札,1867-1916,法國,聲樂
"Salieri, Antonio",薩里耶利,1750-1825,義大利,作曲
"Salignac, Thomas",薩利尼亞克,1867-1945,法國,聲樂
"Sallinen, Aulis",薩利能,1935-,芬蘭,作曲
"Salmenhaara, Erkki",薩門哈拉,1941-2002,芬蘭,作曲；音樂學
"Salmhofer, Franz",薩姆賀佛,1900-1975,奧地利,作曲；指揮
"Salmond, Felix",薩蒙德,1888-1952,英國,大提琴
"Salomon, Johan Peter","薩洛蒙,約翰",1745-1815,德國,小提琴；音樂經理；作曲
"Salomon, Karel","薩洛蒙,卡瑞爾",1897-1974,以色列,作曲；指揮；聲樂
"Salonen, Esa-Pekka",薩洛能,1958-,芬蘭,作曲；指揮
"Salter, Lionel",薩爾特,1914-2000,英國,鋼琴；作曲；指揮；著作
"Salulini, Paolo",薩魯利尼,1709-1780,義大利,作曲
"Salviucci, Giovanni",薩維悟契,1907-1937,義大利,作曲
"Salz?do, Carlos",薩爾采多,1885-1961,美國,豎琴；作曲
"Salzedo, Leonard",薩爾澤多,1921-2000,英國,作曲
"Salzman, Eric",薩爾茲曼,1933-,美國,作曲；音樂學
"Samama, Leo",薩馬瑪,1951-,荷蘭,作曲
"Samaroff, Olga",薩瑪洛芙,1882-1948,美國,鋼琴
"Samazeuilh, Gustave",薩瑪澤伊,1877-1967,法國,作曲；音樂學
"Saminsky, Lazare",薩敏斯基,1882-1959,美國,作曲；指揮；音樂學
"Sammarco, Mario",薩馬可,1868-1930,義大利,聲樂
"Sammartini, Giovanni Battista","薩瑪悌尼,喬望尼",1700-1775,義大利,作曲
"Sammartini, Giuseppe","薩瑪悌尼,朱塞佩",1695-1750,義大利,作曲
"Sammell, Clara",薩梅爾,1858-1920,英國,聲樂
"Sammons, Albert",薩蒙斯,1886-1957,英國,小提琴；作曲
"Samuel, Harold",薩繆爾,1879-1937,英國,鋼琴
"Sanabria, Juan Jos? Falc?n",桑納布里雅,1936-,西班牙,作曲
"Sanchez de Fuentes, Eduardo",桑傑斯‧德‧芬德斯,1874-1944,古巴,作曲
"Sande, Jim",桑德,1953-,美國,作曲
"Sanders, John (Derek)",桑德斯,1933-2003,英國,作曲；管風琴；指揮
"Sanderson, Sibyl",桑德森,1865-1903,美國,聲樂
"Sand? Meneses, Luis",桑第‧梅內謝斯,1905-1996,墨西哥,作曲
"Sandor, Gy?rgy",桑多爾,1912-2005,美國,鋼琴
"Sandoval, Carlos",桑多瓦爾,1956-,墨西哥,作曲
"Sandrin, Pierre",桑德然,ca.1490-ca.1561,法國,作曲
"Sandroff, Howard",桑卓夫,1949-,美國,作曲
"Sanrom?, Jes?s Mar?a",桑羅馬,1902-1984,波多黎各,鋼琴
"Santa Cruz, Domingo",桑塔克路斯,1899-1987,智利,作曲
"Santley, Charles",桑特利,1834-1922,英國,聲樂
"Santoliquido, Francesco",桑托利桂多,1883-1971,義大利,作曲
"Santoro, Cl?udio",桑托洛,1919-1989,巴西,作曲；小提琴
"Sanz, Gaspar",桑斯,1640-1710,西班牙,作曲；吉他
"Sanzogno, Nino",桑佐紐,1911-1983,義大利,指揮
"Sapelnikov, Vassily",薩培尼科夫,1867-1941,俄國,鋼琴；作曲
"Sapieyevski, Jerzy",薩匹耶夫斯基,1945-,波蘭,作曲；指揮
"Sarasate, Pablo de",薩拉沙特,1844-1908,西班牙,小提琴；作曲
"Sargent, Malcolm",薩金特,1895-1967,英國,指揮
"Sarti, Giuseppe",薩爾悌,1729-1802,義大利,作曲
"Sass, Sylvia",薩絲,1951-,匈牙利,聲樂
"Satie, Erik",薩悌,1866-1925,法國,作曲
"Sato, Masahiko",佐藤允彥,1931-,日本,作曲
"Sato, Shinobu",佐藤忍,1952-,日本,女高音
"Sato, Somei",佐藤聰明,1947-,日本,作曲
"Sato, Toshinao",佐藤敏直,1936-,日本,作曲
"Sauer, Emil von","邵爾,艾米爾",1862-1942,德國,鋼琴
"Sauer, Maud","邵爾,茂特",1952-,德國,作曲
"Sauguet, Henri",索蓋,1901-1989,法國,作曲
"Sauret, Emile",索列,1852-1920,法國,小提琴；作曲
"Savaskan, Sinan Carter",薩瓦斯肯,1954-,英國,作曲
"Savasta, Antonio",薩瓦斯塔,1873-1959,義大利,作曲
"Savel'ev, Boris Vladimirovich",薩維列夫,1896-1966,俄國,作曲
"Sawallisch, Wolfgang",札瓦利許,1923-2013,德國,指揮；鋼琴
"Sax, Adolphe",薩克斯,1814-1894,比利時,樂器製造
"Saygun, Ahmed Adnan",賽貢,1907-1991,土耳其,作曲；指揮；民族音樂學
"Sbriglia, Giovanni",茲布里利亞,1829-1916,義大利,聲樂
"Scalero, Rosario",斯卡列羅,1870-1954,義大利,小提琴；作曲
"Scandello, Antonio",斯坎代羅,1517-1580,義大利,作曲
"Scarlatti, Alessandro","斯卡拉第,亞力山大",1660-1725,義大利,作曲
"Scarlatti, Domenico","斯卡拉第,多梅尼科",1685-1757,義大利,鋼琴；作曲
"Scarlatti, Giuseppe","斯卡拉第,朱塞佩",ca.1718-1777,義大利,作曲
"Scelsi, Giacinto",謝爾希,1905-1988,義大利,作曲
"Schack, Benedikt",夏克,1758-1826,奧地利,聲樂；作曲；長笛
"Schaeffer, Pierre",薛費爾,1910-1995,法國,作曲
"Schafer, Dirk","謝弗,迪克",1873-1931,荷蘭,鋼琴；作曲
"Schafer, R. Murray","謝弗,莫瑞",1933-,加拿大,作曲
"Sch?ffer, Boguslaw","謝弗,伯古斯勞",1929-,波蘭,作曲
"Schaffrath, Christoph",夏弗拉特,1709-1763,德國,作曲
"Schalk, Franz",夏爾克,1863-1931,奧地利,指揮
"Scharrer, Irene",夏瑞爾,1888-1971,英國,鋼琴
"Scharwenka, Philipp","夏溫卡,菲利普",1847-1917,德國,作曲
"Scharwenka, Xaver","夏溫卡,克撒維爾",1850-1924,波蘭,作曲；鋼琴
"Schat, Peter",夏特,1935-2003,荷蘭,作曲
"Scheibe, Johann Adolf",夏伊伯,1708-1776,德國,作曲
"Scheidemann, Heinrich",夏伊德曼,ca.1595-1663,德國,管風琴；作曲
"Scheidt, Samuel",夏伊特,1587-1654,德國,作曲
"Schein, Johann Hermann",夏伊恩,1586-1630,德國,作曲
"Schelling, Ernest",謝林,1876-1939,美國,鋼琴；作曲；指揮
"Schenk, Johann Baptist",申克,1753-1836,奧地利,作曲
"Schenker, Friedrich","申克爾,弗里德利希",1942-,德國,作曲
"Schenker, Heinrich","申克爾,海因利希",1868-1935,奧地利,音樂理論
"Scherber, Martin",謝爾伯,1907-1974,德國,作曲
"Scherchen, Hermann",謝爾亨,1891-1966,德國,指揮
"Scherchen-Hsiao, Tona",謝爾亨－(蕭桐),1938-,法國,作曲
"Schibler, Armin",席伯勒,1920-1986,瑞士,作曲
"Schickele, Peter",席克勒,1935-,美國,作曲
"Schidlowsky, Leon",席德洛夫斯基,1931-,以色列,作曲
"Schidolf, Peter",席朵夫,1922-,英國,中提琴；小提琴
"Schiff, Andras",席夫,1953-,匈牙利,鋼琴
"Schifrin, Lalo",席夫凌,1932-,阿根廷,作曲
"Schiller, Allan",席勒,1943-,英國,鋼琴
"Schillinger, Joseph",席林格,1895-1943,美國,音樂理論；作曲；指揮
"Schillings, Max von",席林斯,1868-1933,德國,作曲；指揮
"Schindelmeisser, Louis",辛德麥瑟,1811-1864,德國,作曲
"Schindler, Anton Felix","辛德勒,安東",1795-1864,奧地利,小提琴；指揮；音樂學
"Schindler, Kurt","辛德勒,庫爾特",1882-1935,美國,指揮；作曲
"Schipa, Tito",斯基帕,1888-1965,義大利,聲樂
"Schippers, Thomas",席珀斯,1930-1977,美國,指揮
"Schirmer, Gustav",席爾默,1829-1893,美國,音樂出版
"Schiske, Karl",席斯克,1916-1969,匈牙利,作曲
"Schiuma, Alfredo",秀瑪,1885-1963,阿根廷,作曲
"Schjelderup, Gerhard",施德儒普,1859-1933,挪威,作曲
"Schlesinger, Kathleen",施勒辛格,1862-1953,愛爾蘭,音樂學
"Schlick, Arnolt","施利克,阿諾特",ca.1460-ca.1521,德國,管風琴；作曲
"Schlick, Johann","施利克,約翰",1759-1825,德國,大提琴；作曲
"Schlusnus, Heinrich",施魯斯努斯,1888-1952,德國,聲樂
"Schmedes, Erik",施梅德斯,1866-1931,丹麥,聲樂
"Schmelzer, Johann Heinrich",施梅爾哲,1620-1680,奧地利,作曲；小提琴
"Schmid, Erich",施密德,1907-2000,瑞士,作曲
"Schmidt, Franz","施密特,弗朗茲",1874-1939,奧地利,作曲；指揮；鋼琴；大提琴
"Schmidt, Joseph","施密特,約瑟夫",1904-1942,羅馬尼亞,聲樂
"Schmidt, Ole","施密特,歐勒",1928-,丹麥,指揮；作曲
"Schmidt, William","施密特,威廉",1926-,美國,作曲
"Schmidt-Isserstedt, Hans",施密特－易瑟斯泰特,1900-1973,德國,指揮；作曲
"Schmieder, Wolfgang",施密德爾,1901-1990,德國,音樂目錄學
"Schmitt, Aloys","施米特,阿洛伊斯",1788-1866,德國,鋼琴；作曲
"Schmitt, Florent","施米特,弗洛杭",1870-1958,法國,作曲
"Schmitz, ?lie",施密茲,1889-1949,法國,鋼琴
"Schnabel, Artur","施納貝爾,阿圖",1882-1951,奧地利,鋼琴；作曲
"Schnabel, Karl Ulrich","施納貝爾,卡爾",1909-2001,美國,鋼琴
"Schnebel, Dieter",施內貝爾,1930-,德國,作曲；音樂學
Schneevoigt Georg,施內沃伊特,1872-1947,芬蘭,指揮；大提琴
"Schneider, Alexander","施奈德,亞力山大",1908-1993,美國,小提琴；指揮
"Schneider, Friedrich","施奈德,弗里德利希",1786-1853,德國,作曲；指揮；管風琴
"Schneiderhan, Wolfgang",施奈德漢,1915-2002,奧地利,小提琴
"Schnittke, Alfred",施尼特克,1934-1998,俄國,作曲
"Schnyder von Wartensee, Franz Xaver",施尼德‧封‧瓦坦澤,1786-1868,瑞士,作曲
"Schnyder, Daniel",施尼德,1961-,瑞士,作曲
"Schobert, Johann",休貝特,ca.1735-1767,德國,作曲
"Schock, Rudolf",秀克,1915-1986,德國,聲樂
"Schoeck, Othmar",謝克,1886-1957,瑞士,指揮；作曲
"Sch?ffler, Paul",薛夫勒,1897-1977,奧地利,聲樂
"Schofield, Ian",休費爾德,1949-,英國,長號
"Schollum, Robert",蕭隆,1913-1987,奧地利,作曲
"Scholz, Bernhard E.",蕭爾茲,1835-1916,德國,指揮；作曲
"Sch?nbach, Dieter",荀巴赫,1931-,德國,作曲；指揮
"Sch?nberg(Schoenberg), Arnold",荀貝格,1874-1951,奧地利,作曲
"Sch?nherr, Max",荀赫爾,1903-1984,奧地利,指揮；作曲；音樂學
"Sch?nzeler, Hans-Hubert",荀澤勒,1925-,德國,指揮；音樂學
"Schoonenbeek, Kees",宋能畢克,1947-,荷蘭,作曲
"Schorr, Friedrich",秀爾˙弗里德利希,1888-1953,美國,聲樂
"Schradieck, Henry",施拉迪克,1846-1918,德國,小提琴
"Schreck, Brundo",施雷克,1928-,德國,大提琴
"Schreier, Peter",施萊爾,1935-,德國,聲樂；指揮
"Schreker, Franz",施雷克爾,1878-1934,奧地利,指揮；作曲
"Schr?der, Hermann",施略德,1904-1984,德國,作曲
"Schr?der-Devrient, Wilhelmine",施略德-戴芙琳,1804-1860,德國,聲樂
"Schroyens, Daniel","施洛因斯,丹尼爾",1961-,比利時,作曲
"Schroyens, Raymond","施洛因斯,雷蒙",1933-,比利時,作曲
"Schubert, Franz",舒伯特,1797-1828,奧地利,作曲
"Schuch, Ernst von",舒赫,1846-1914,奧地利,指揮
"Schulhoff, Erwin(Ervin)","舒霍夫,厄文",1894-1942,捷克,鋼琴；作曲
"Schulhoff, Julius","舒霍夫,尤流斯",1825-1898,捷克,鋼琴；作曲
"Schuller, Gunther",舒勒,1925-,美國,作曲；指揮
"Schultz, Svend","舒爾次,史文德",1913-1998,丹麥,作曲
"Schultz, Wolfgang-Andreas","舒爾次,沃夫岡－安德雷阿斯",1948-,德國,作曲
"Schulz, Johann Abraham Peter",舒爾茲,1747-1800,德國,作曲
"Schulz-Beuthen, Heinrich",舒爾茲－伯伊滕,1838-1915,德國,作曲
"Schulz-Evler, Andrei",舒爾茲－艾弗勒,1852-1905,波蘭,作曲
"Schuman, William","舒曼,威廉",1910-1992,美國,作曲
"Schumann, Clara","舒曼,克拉拉",1819-1896,德國,鋼琴；作曲
"Schumann, Elizabeth","舒曼,伊莉莎白",1888-1952,德國,作曲
"Schumann, Robert","舒曼,羅伯特",1810-1856,德國,作曲
Schumann-Heink Ernestine,舒曼－海茵克,1861-1936,美國,聲樂
"Schuppanzigh, Ignaz",舒潘齊格,1776-1830,奧地利,小提琴；指揮
"Schuricht, Carl",舒里希特,1880-1967,德國,指揮
"Schurmann, Georg Caspar","舒爾曼,蓋歐格",1672/73-1751,德國,作曲
"Schurmann, Gerard","舒爾曼,蓋拉格",1924-,荷蘭,作曲；指揮
"Schutt, Eduard",舒特,1856-1933,奧地利,鋼琴；作曲
"Sch?tz, Heinrich",許茲,1585-1672,德國,作曲
"Schuyt, Cornelis",舒易特,1557-1616,荷蘭,作曲
"Schwarz, Rudolf",施瓦茲,1905-1994,英國,指揮
"Schwarzkopf, Elisabeth",施瓦茲科芙,1915-2006,德國,聲樂
"Schweitzer, Albert",史懷哲,1875-1965,法國,管風琴；音樂學
"Schwencke, Christian Friedrich Gottlieb",施文克,1767-1822,德國,作曲
"Schwendinger, Laura Elise",史溫丁格,1962-,墨西哥,作曲
"Schwertsik, Kurt",施維爾奇克,1935-,奧地利,作曲
"Schwindl, Friedrich",施溫德爾,1737-1786,荷蘭,小提琴；作曲
"Schytte, Ludwig",席特,1848-1909,丹麥,鋼琴；作曲
"Sciammarella, Valdo",夏馬雷雅,1924-,阿根廷,作曲
"Sciarrino, Salvatore",夏里諾,1947-,義大利,作曲
"Sciberras, Ray",西貝拉斯,1962-,馬爾他,作曲
"Sciutti, Graziella",秀第,1927-2001,義大利,聲樂
"Scontrino, Antonio",斯孔特利諾,1850-1922,義大利,作曲；低音提琴
"Scott, Anthony","斯考特,安東尼",1911-,英國,作曲；管風琴
"Scott, Cyril","斯考特,西利爾",1879-1970,英國,作曲；鋼琴
"Scott, Francis George","斯考特,弗朗西斯",1880-1958,英國（蘇格蘭）,作曲
"Scotti, Antonio",斯柯第,1866-1936,義大利,聲樂
"Scotto, Renata",斯柯朵,1934-,義大利,聲樂
"Scriabin(Skriabin), Alexander",斯克里亞賓,1872-1915,俄國,作曲
"Sculthorpe, Peter",斯克爾索普,1929-,澳大利亞,鋼琴；作曲
"Seaman, Christopher",西曼,1942-,英國,指揮
"Searle, Humphrey",瑟爾,1915-1982,英國,作曲；音樂學
"Sechter, Simon",瑟赫特,1788-1867,奧地利,作曲；管風琴；音樂理論
"Seefried, Irmgard",澤芙莉德,1919-1988,奧地利,聲樂
"Seeger, Ruth",西格,1901-1953,美國,作曲
"Segerstam, Leif",澤格斯坦,1944-,芬蘭,指揮；作曲
"Segovia, Andr?s",賽歌維雅,1893-1987,西班牙,吉他
"Sehested, Hilda",賽赫斯泰德,1858-1936,丹麥,作曲
"Seiber, Matyas",賽伯,1905-1960,英國,作曲
"Seidel, Toscha",賽德爾,1899-1962,美國,小提琴
"Seinemeyer, Meta",翟內梅耶爾,1895-1929,德國,聲樂
"Seitz, Fritz (Friedrich)",翟茲,1848-1918,德國,作曲
"Sekles, Bernhard",澤克勒斯,1872-1934,德國,作曲
"Sellars, James",瑟拉斯,1943-,美國,作曲
"Sellick, Phyllis",瑟利克,1911-2007,英國,鋼琴
"Sembrich, Marcella",森布莉希,1858-1935,波蘭,聲樂
"Semkow, Jerzy",森科夫,1928-,波蘭,指揮
"Semyonow, Wjatseslaw",謝苗諾夫,1946-,俄國,作曲
"Senaill?, Jean-Baptiste",瑟納伊耶,1687-1730,法國,小提琴
"Senanes, Gabriel",賽納內斯,1956-,阿根廷,作曲
"Senfl, Ludwig",森佛,ca.1490-ca.1543,瑞士,作曲
"Senofsky, Berl",塞諾夫斯基,1925-,美國,小提琴
"Serafin, Tullio",賽拉芬,1878-1968,義大利,指揮
"Serebrier, Jos?",賽雷布里耶爾,1938-,烏拉圭,作曲；指揮
"Serkin, Rudolf",瑟金,1903-1991,美國,鋼琴
"Serly, Tibor",瑟爾利,1901-1978,美國,作曲；音樂理論
"Serocki, Kazimierz",謝洛茲基,1922-1981,波蘭,作曲；鋼琴
"Serov, Alexander",謝洛夫,1820-1871,俄國,作曲；樂評
"Serova-Bergman, Valentina Semyonova",謝洛瓦－貝爾格曼,1846-1924,俄國,作曲
"Servais, (Adrien-) Fran?ois",謝爾維,1807-1866,比利時,大提琴；作曲
"Sessions, Roger",賽旬思,1896-1985,美國,作曲
"Seter, Mordecai",賽特,1916-1994,以色列,作曲
"Setoguji, Fuziyoshi",??口藤吉,1868-1941,日本,作曲
"Setrakian, Setrak",賽特拉基安,1938-,黎巴嫩,作曲
"S?verac, D?odat de",賽維拉克,1873-1921,法國,作曲
"Sevitzky, Fabien",瑟維茲基,1891-1967,俄國,低音提琴；指揮
"Seyfried, Ignaz von",翟夫里特,1776-1841,奧地利,作曲；指揮
"Sfetsas, Kyriakos",史菲查斯,1945-,希臘,作曲
"Sgambati, Giovanni",斯甘巴悌,1841-1914,義大利,鋼琴；作曲
"Shaffer, Elaine",夏芙爾,1925-1973,美國,長笛
"Shapero, Harold",夏培若,1920-,美國,作曲
"Shapiro, Alex","夏皮若,阿雷克斯",1962-,美國,作曲
"Shapiro, Michael","夏皮若,麥可",1951-,美國,作曲
"Shapleigh, Bertram",夏普利,1871-1940,美國,作曲
"Shaporin, Yury",夏波林,1887-1966,俄國,作曲
"Sharman, Rodney",夏曼,1958-,加拿大,作曲
"Sharp, Cecil","夏普,瑟西爾",1859-1924,英國,民歌編曲
"Sharp, Elliott","夏普,艾略特",1951-,美國,作曲
"Sharpe, Carlyle","夏佩,卡利樂",1965-,美國,作曲
"Sharpe, Cedric","夏佩,瑟德里克",1891-1978,英國,大提琴；作曲
"Shaw, (George) Bernard",蕭伯納,1856-1950,愛爾蘭,樂評
"Shaw, Geoffrey","蕭,喬弗瑞",1879-1943,英國,作曲；管風琴
"Shaw, Martin","蕭,馬丁",1875-1958,英國,作曲
"Shaw, Robert","蕭,羅伯特",1916-1999,美國,指揮；作曲
"Shchedrin, Rodion",席且德林,1932-,俄國,作曲
"Shcherbachev, Vladimir",席且巴齊夫,1889-1952,俄國,作曲
"Shebalin, Vissarion",謝巴林,1902-1963,俄國,作曲
"Shelley, Harry Rowe",謝利,1858-1947,美國,管風琴；作曲
